sexo,ingreso,escolaridad,experiencia,Fuerzas Armada,"Profesionales, científicos e intelectuales",Técnicos profesionales de nivel medio,Empleados de oficina,experienciacuadrado
1,12.4292162,12,38,0,0,0,0,1444
1,12.20607265,7,8,0,0,0,0,64
0,12.54877543,12,6,0,0,0,0,36
0,12.64995686,12,10,0,0,0,0,100
0,12.74159186,15,5,0,0,0,0,25
1,11.77528973,7,49,0,0,0,0,2401
1,13.29631668,12,41,0,0,0,0,1681
1,13.19932442,14,3,0,0,1,0,9
0,13.19932442,12,5,0,0,0,0,25
1,12.72486644,12,32,0,0,0,0,1024
1,12.94800999,15,3,0,0,1,0,9
0,12.20607265,8,34,0,0,0,0,1156
1,12.84792653,12,16,0,0,0,1,256
0,12.61153775,12,25,0,0,0,0,625
1,12.71689727,6,56,0,0,0,0,3136
1,12.50617724,12,35,0,0,0,1,1225
0,11.8493977,12,1,0,0,0,0,1
0,11.88720946,12,47,0,0,0,0,2209
1,13.12236338,12,42,0,0,0,0,1764
1,13.12236338,17,9,0,1,0,0,81
1,12.89921983,12,25,0,0,1,0,625
0,12.864266,11,35,0,0,0,0,1225
0,13.81551056,17,4,0,1,0,0,16
1,13.45883561,17,6,0,1,0,0,36
1,13.01700286,17,11,0,0,1,0,121
0,13.30468493,12,38,0,0,0,0,1444
1,12.76568843,12,26,0,0,1,0,676
1,12.3883942,12,13,0,0,0,0,169
1,12.46843691,12,34,0,0,0,0,1156
0,12.77563876,12,15,0,0,0,0,225
1,12.76568843,12,7,0,0,0,0,49
0,12.67607627,12,27,0,0,0,0,729
1,12.67607627,9,29,0,0,0,0,841
0,12.20607265,10,6,0,0,0,0,36
0,12.46843691,12,26,0,0,0,0,676
1,12.47800636,12,17,0,0,0,0,289
1,13.12236338,1,43,0,0,0,0,1849
1,12.61153775,12,13,0,0,0,0,169
1,12.789218,15,48,0,0,0,0,2304
1,12.61153775,12,22,0,0,0,1,484
0,13.81551056,12,30,0,0,0,0,900
0,13.12236338,11,26,0,0,0,0,676
0,13.60066622,12,42,0,0,0,1,1764
0,14.07787482,6,39,0,0,0,0,1521
1,12.89921983,12,30,0,0,0,1,900
1,12.89921983,14,14,0,0,1,0,196
0,13.81551056,16,15,0,0,0,0,225
1,13.81551056,16,12,0,0,0,0,144
0,12.89921983,12,28,0,0,0,0,784
1,12.82125828,12,31,0,0,0,0,961
1,13.21767356,17,6,0,1,0,0,36
0,14.10040525,17,14,1,0,0,0,196
0,14.40329722,17,12,1,0,0,0,144
0,14.69789988,16,42,0,1,0,0,1764
1,12.5305699,14,28,0,0,0,1,784
0,13.81551056,17,43,0,1,0,0,1849
1,13.30468493,11,55,0,0,1,0,3025
0,14.13759406,18,35,0,1,0,0,1225
1,14.50865774,15,29,0,0,0,1,841
1,12.10071213,12,23,0,0,0,0,529
0,12.76568843,12,32,0,0,0,0,1024
0,12.76568843,12,22,0,0,0,0,484
1,12.76568843,12,20,0,0,1,0,400
0,13.21767356,17,24,0,0,1,0,576
1,12.89921983,12,20,0,0,0,1,400
0,12.61153775,8,49,0,0,0,0,2401
1,12.61153775,8,55,0,0,0,0,3025
0,13.60189893,17,6,0,1,0,0,36
1,13.45186567,17,12,0,1,0,0,144
1,12.50617724,4,38,0,0,0,0,1444
1,12.20607265,17,5,0,0,0,0,25
0,14.50990696,17,24,0,1,0,0,576
1,13.8924716,17,6,0,1,0,0,36
1,14.771022,17,15,0,1,0,0,225
0,14.60396792,17,16,0,1,0,0,256
0,14.41480465,17,21,0,1,0,0,441
0,13.25499912,12,7,0,0,0,0,49
0,12.92391244,12,7,0,0,0,1,49
0,14.15198279,17,23,0,1,0,0,529
1,13.81551056,17,7,0,1,0,0,49
0,13.54980783,17,5,0,0,1,0,25
1,12.92391244,15,25,0,0,0,1,625
0,13.45883561,15,30,0,0,0,0,900
0,12.20607265,17,19,0,1,0,0,361
0,14.5446685,17,17,0,0,0,0,289
0,13.93772819,15,16,0,0,0,0,256
0,14.5490907,17,4,0,1,0,0,16
0,14.84512998,18,42,0,1,0,0,1764
1,13.01700286,10,54,0,0,1,0,2916
0,14.18965698,17,6,0,1,0,0,36
1,12.04453559,14,7,0,0,0,0,49
0,13.81784084,15,22,0,0,0,0,484
0,14.08426437,17,19,0,0,0,0,361
0,13.71255493,14,16,1,0,0,0,256
0,13.46595308,12,10,1,0,0,0,100
1,12.92796762,12,10,0,0,0,0,100
0,13.13165408,12,24,0,0,0,0,576
1,12.88029182,12,22,0,0,0,0,484
0,13.93506979,15,20,1,0,0,0,400
1,13.31298374,15,20,0,0,1,0,400
1,10.71049899,12,5,0,0,0,0,25
0,13.59236701,12,24,1,0,0,0,576
1,13.06931486,11,22,0,0,0,0,484
0,13.53060197,12,23,1,0,0,0,529
1,13.45046784,12,22,0,0,1,0,484
0,13.73375806,14,14,1,0,0,0,196
0,14.118081,14,20,0,1,0,0,400
1,14.41955326,20,20,0,1,0,0,400
0,13.142166,14,38,0,0,0,0,1444
0,12.89921983,10,7,0,0,0,0,49
1,13.04907415,12,38,0,0,0,0,1444
0,13.40024811,15,33,0,0,0,0,1089
1,13.50079981,17,13,0,0,1,0,169
0,13.3067661,12,18,0,0,0,0,324
1,12.74159186,12,14,0,0,0,0,196
1,13.12900726,17,13,0,0,0,1,169
0,13.23569206,15,24,0,0,1,0,576
1,13.24752711,17,27,0,0,0,1,729
1,13.12735092,15,30,0,0,1,0,900
0,12.61153775,12,14,0,0,1,0,196
0,14.28551419,12,35,0,0,0,0,1225
0,11.91839057,8,16,0,0,0,0,256
0,13.52782849,8,18,0,0,0,0,324
0,12.61153775,12,25,0,0,0,1,625
0,12.89921983,15,16,0,0,0,0,256
1,12.5526119,12,34,0,0,1,0,1156
0,12.95197118,11,35,0,0,0,0,1225
1,12.7728059,12,2,0,0,0,0,4
0,12.4292162,12,7,0,0,0,0,49
0,13.01700286,10,10,0,0,0,0,100
1,11.69524702,8,10,0,0,0,0,100
0,12.91574995,10,15,0,0,0,0,225
0,13.30468493,12,35,0,0,0,0,1225
1,12.92391244,8,32,0,0,0,0,1024
1,12.78455785,12,14,0,0,0,0,196
0,12.62258649,12,7,0,0,0,0,49
1,11.28978191,16,21,0,0,1,0,441
0,12.61153775,16,1,0,0,0,0,1
0,12.46843691,12,28,0,0,0,0,784
