fecha,dólar ,euro
31-07-2020,43.02,36.21
30-07-2020,42.99,36.18
29-07-2020,43.59,36.69
28-07-2020,43.4,36.53
27-07-2020,43.14,36.31
24-07-2020,43.38,36.51
23-07-2020,44.62,37.56
22-07-2020,44.24,37.24
21-07-2020,44.29,37.28
20-07-2020,43.03,36.22
17-07-2020,43.22,36.38
16-07-2020,43.8,36.87
15-07-2020,44.12,37.14
14-07-2020,43.02,36.21
13-07-2020,43.38,36.51
10-07-2020,43.46,36.58
09-07-2020,43.31,36.45
08-07-2020,43.44,36.56
07-07-2020,43.15,36.32
06-07-2020,43.57,36.67
03-07-2020,42.93,36.13
02-07-2020,42.89,36.1
01-07-2020,42.66,35.91
